内容,主题概率,主题类型
拉肚子,"[(0, 0.083612904), (1, 0.083612435), (2, 0.08361407), (3, 0.5817304), (4, 0.08361508), (5, 0.08381506)]",3
垃圾,"[(0, 0.08337067), (1, 0.083348), (2, 0.08338807), (3, 0.08335634), (4, 0.08347563), (5, 0.5830613)]",5
商品 京东 心理 商家 发货 京东 花钱,"[(0, 0.020846898), (1, 0.020849831), (2, 0.020987393), (3, 0.020917302), (4, 0.8954319), (5, 0.020966714)]",4
保质期,"[(0, 0.08334539), (1, 0.08338522), (2, 0.083433755), (3, 0.58138835), (4, 0.085079975), (5, 0.083367296)]",3
下单 生产日期,"[(0, 0.055595797), (1, 0.055623), (2, 0.05602287), (3, 0.72032624), (4, 0.05643387), (5, 0.0559982)]",3
酸奶 糊状 豆腐块 不爽,"[(0, 0.033824664), (1, 0.033823486), (2, 0.033835754), (3, 0.83076394), (4, 0.033882022), (5, 0.033870094)]",3
味道 兰格,"[(0, 0.06066848), (1, 0.059860893), (2, 0.44406494), (3, 0.31558865), (4, 0.059902236), (5, 0.059914757)]",2
酸奶 体验 客服 冰箱 售后 售后 保质期 酸奶 盒子 冰箱,"[(0, 0.015177127), (1, 0.015190691), (2, 0.015276659), (3, 0.92364824), (4, 0.015367402), (5, 0.015339866)]",3
明胶,"[(0, 0.5811492), (1, 0.08376717), (2, 0.08377022), (3, 0.083769746), (4, 0.083771266), (5, 0.08377237)]",0
价格,"[(0, 0.08349861), (1, 0.08342895), (2, 0.5820054), (3, 0.083517194), (4, 0.08384954), (5, 0.08370031)]",2
系统 下单 地址 地址 错误 客服 责任 后台 数据,"[(0, 0.016711846), (1, 0.016898846), (2, 0.016694438), (3, 0.017184861), (4, 0.91564417), (5, 0.016865829)]",4
食品 货后 保质期 酸奶,"[(0, 0.033347357), (1, 0.03335002), (2, 0.033365905), (3, 0.6822128), (4, 0.18415809), (5, 0.03356584)]",3
下单 收货 生产日期,"[(0, 0.041734356), (1, 0.041701663), (2, 0.04188642), (3, 0.790345), (4, 0.042238675), (5, 0.04209387)]",3
发货 速度,"[(0, 0.055556793), (1, 0.05598129), (2, 0.056126297), (3, 0.72072077), (4, 0.05591927), (5, 0.055695564)]",3
产品,"[(0, 0.08354443), (1, 0.08374774), (2, 0.58103687), (3, 0.083434604), (4, 0.08405333), (5, 0.08418303)]",2
稀碎 馊味,"[(0, 0.05801429), (1, 0.058010343), (2, 0.058024146), (3, 0.058021836), (4, 0.7098911), (5, 0.05803834)]",4
东西 质量 恶心,"[(0, 0.04218507), (1, 0.041767806), (2, 0.5452657), (3, 0.04189163), (4, 0.041841675), (5, 0.2870481)]",2
酸奶 不错 保质期 保质期 新鲜,"[(0, 0.027837275), (1, 0.02781163), (2, 0.3440326), (3, 0.5443221), (4, 0.028172811), (5, 0.027823638)]",3
便秘 福音 套餐 产品,"[(0, 0.033861272), (1, 0.033919338), (2, 0.034083143), (3, 0.22951014), (4, 0.6343737), (5, 0.03425236)]",4
酸奶,"[(0, 0.08335372), (1, 0.08334777), (2, 0.08347035), (3, 0.583118), (4, 0.08337149), (5, 0.08333861)]",3
口感,"[(0, 0.08335291), (1, 0.0833443), (2, 0.58313745), (3, 0.0834306), (4, 0.083391696), (5, 0.08334305)]",2
质量 稳定 表面 勺子 很大 垃圾,"[(0, 0.02393831), (1, 0.02396948), (2, 0.024384301), (3, 0.02408421), (4, 0.023976296), (5, 0.8796474)]",5
酸奶 箱子 金额 酸奶,"[(0, 0.0337968), (1, 0.0338604), (2, 0.03381715), (3, 0.8297491), (4, 0.033802737), (5, 0.034973852)]",3
保质期 保质期 礼拜 时间 鲜奶,"[(0, 0.027801735), (1, 0.2663188), (2, 0.028013133), (3, 0.028117273), (4, 0.6216816), (5, 0.028067518)]",4
裂缝,"[(0, 0.083875075), (1, 0.083874136), (2, 0.08387738), (3, 0.5806134), (4, 0.08387934), (5, 0.08388067)]",3
酸奶 密封圈 条件 温度 小时 东西 保温箱 冰箱 苍蝇 过程 密封圈 苍蝇 装罐 密封 罐子 过程 全额 曝光 商家,"[(3, 0.1528126), (4, 0.8133011)]",4
